VendorName,VendorNumber,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesDollars,TotalSalesPrice,TotalSalesQuantity,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalestoPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
DIAGEO NORTH AMERICA INC,3960,2432,Crown Royal,17.59,22.99,750.0,41893,736897.87,967005.94,361149.79,41506.0,32678.12,257032.07,230108.06999999995,23.8,0.9908,1.312,17.59,Large,6807.33
PERNOD RICARD USA,17035,5365,Kahlua,14.84,18.99,750.0,48583,720971.72,932815.85,323296.75999999995,48615.0,38272.73,123780.22,211844.13,22.71,1.0007,1.294,14.84,Large,-474.88
DIAGEO NORTH AMERICA INC,3960,3876,Smirnoff 80 Proof,13.95,19.99,1750.0,50962,710919.9,1210481.34,298050.95999999996,64266.0,118078.45,257032.07,499561.44000000006,41.27,1.2611,1.703,13.950000000000001,Large,-185590.8
CONSTELLATION BRANDS INC,1392,3913,Svedka Vodka,14.28,17.99,1750.0,48481,692308.68,875307.95,271014.43,47805.0,87832.83,79528.99,182999.2699999999,20.91,0.9861,1.264,14.280000000000001,Large,9653.279999999999
SAZERAC CO INC,8004,3522,Platinum 7X Distilled Vodka,9.62,12.99,1750.0,71899,691668.38,914148.49,232302.78,70351.0,129253.37,50293.62,222480.11,24.34,0.9785,1.322,9.62,Large,14891.759999999998
CONSTELLATION BRANDS INC,1392,2114,Black Velvet Canadian Whisky,9.41,12.99,1750.0,73227,689066.07,948838.57,229797.43,72043.0,132364.71,79528.99,259772.5,27.38,0.9838,1.377,9.41,Large,11141.44
MARTIGNETTI COMPANIES,4425,11219,Josh Cellars Cab Svgn Sonoma,8.44,12.99,750.0,80030,675453.2,1095045.04,199092.27,78392.0,8799.82,144929.24,419591.8400000001,38.32,0.9795,1.621,8.44,Large,13824.72
M S WALKER INC,9552,3893,Zhenka 80 Proof,7.93,9.99,1750.0,81447,645874.71,816412.77,171058.77,81723.0,150149.63,55551.82,170538.06000000006,20.89,1.0034,1.264,7.93,Large,-2188.68
BROWN-FORMAN CORP,1128,811,Jack Daniels No 7 Black,19.84,29.99,1000.0,32554,645871.36,937915.36,253234.69999999998,32064.0,33667.2,68601.68,292044.0,31.14,0.9849,1.452,19.84,Large,9721.6
DIAGEO NORTH AMERICA INC,3960,2443,Seagrams VO,13.48,16.99,1750.0,47654,642375.92,902489.5399999999,273169.25999999995,47446.0,87173.56999999999,257032.07,260113.61999999988,28.82,0.9956,1.405,13.48,Large,2803.84
